epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.72559,1.00701,3.70667,1.2238,0.00347,1,0.02983,0.02688,0.39143,3.37859,0.84088,7.145e-05,7.145e-05,7.145e-05
2,8.39696,0.84881,3.64227,1.1219,0.00266,1,0.47767,0.44469,0.37006,3.28378,0.8399,0.000149409,0.000149409,0.000149409
3,11.8517,0.72483,3.39948,1.00103,0.00248,1,0.66375,0.58358,0.39093,3.20368,0.82259,0.00021888,0.00021888,0.00021888
4,15.1018,0.54742,2.42901,0.9666,0.00269,1,0.66375,0.58358,0.42595,3.11893,0.83686,0.000279863,0.000279863,0.000279863
5,18.4309,0.53622,1.84234,0.95132,0.00263,1,0.74625,0.67162,0.49915,2.90396,0.8317,0.000332357,0.000332357,0.000332357
6,21.7147,0.53686,1.93709,0.91489,0.00313,1,0.995,0.8075,0.5666,2.91402,0.81897,0.000376363,0.000376363,0.000376363
7,24.9016,0.53572,1.69435,0.95818,0.94398,0.5,0.995,0.92325,0.42717,2.72368,0.82553,0.000411881,0.000411881,0.000411881
8,28.2371,0.48591,1.7711,0.93268,0.9711,0.5,0.995,0.89304,0.39996,2.70055,0.82461,0.00043891,0.00043891,0.00043891
9,31.4865,0.54749,1.76795,0.93052,0.98005,0.5,0.995,0.88483,0.4706,2.64907,0.83801,0.000457451,0.000457451,0.000457451
10,34.4382,0.43794,1.43399,0.87137,0.92673,0.5,0.995,0.8955,0.50429,2.32467,0.84453,0.000467504,0.000467504,0.000467504
11,37.6294,0.43558,2.26739,0.84715,0.92456,0.5,0.995,0.94525,0.45714,2.44565,0.82654,0.000469069,0.000469069,0.000469069
12,40.6274,0.4196,2.22135,0.85911,0.94885,0.5,0.995,0.90108,0.41957,2.52136,0.82331,0.000462146,0.000462146,0.000462146
13,43.3382,0.38908,2.18321,0.86055,0.90482,0.5,0.995,0.95363,0.34355,2.12328,0.82153,0.000446734,0.000446734,0.000446734
14,46.1764,0.42767,1.95192,0.84318,0.84043,1,0.995,0.92063,0.43786,1.71862,0.83503,0.000422834,0.000422834,0.000422834
15,48.9663,0.42163,1.92284,0.87673,0.84043,1,0.995,0.92063,0.43786,1.71862,0.83503,0.000390446,0.000390446,0.000390446
16,51.8186,0.37201,1.72506,0.82726,0.93949,1,0.995,0.87375,0.50507,1.54544,0.84184,0.000349569,0.000349569,0.000349569
17,54.6764,0.39443,1.83772,0.80285,0.98843,0.99686,0.995,0.83212,0.50558,1.42774,0.84258,0.000297232,0.000297232,0.000297232
18,57.5134,0.37541,1.76995,0.81126,0.98634,0.98711,0.995,0.87908,0.46075,1.34391,0.84039,0.000226497,0.000226497,0.000226497
